Total_spending,Total_orders,segments,Customer type
77183.6,1,High Value,One-time customer
4310.0,182,High Value,Repeat customer
1797.24,31,High Value,Repeat customer
1757.55,73,High Value,Repeat customer
334.4,17,High Value,Repeat customer
2506.04,85,High Value,Repeat customer
89.0,4,High Value,Repeat customer
1079.4,58,High Value,Repeat customer
459.4,13,High Value,Repeat customer
2811.43,59,High Value,Repeat customer
6207.67,131,High Value,Repeat customer
1168.06,19,High Value,Repeat customer
6372.58,248,High Value,Repeat customer
2662.06,129,High Value,Repeat customer
189.9,10,High Value,Repeat customer
5226.23,266,High Value,Repeat customer
552.0,23,High Value,Repeat customer
1313.1,85,High Value,Repeat customer
641.38,22,High Value,Repeat customer
168.9,11,High Value,Repeat customer
3545.69,167,High Value,Repeat customer
1887.96,63,High Value,Repeat customer
1298.04,52,High Value,Repeat customer
364.6,14,High Value,Repeat customer
742.9300000000001,33,High Value,Repeat customer
457.5,17,High Value,Repeat customer
1628.12,77,High Value,Repeat customer
4008.62,219,High Value,Repeat customer
852.24,40,High Value,Repeat customer
2724.81,104,High Value,Repeat customer
1845.31,87,High Value,Repeat customer
1850.56,99,High Value,Repeat customer
585.27,27,High Value,Repeat customer
401.9,10,High Value,Repeat customer
2780.66,100,High Value,Repeat customer
549.84,32,High Value,Repeat customer
460.89,100,High Value,Repeat customer
1582.6000000000001,64,High Value,Repeat customer
1272.48,27,High Value,Repeat customer
3018.63,156,High Value,Repeat customer
2409.9,126,High Value,Repeat customer
1635.6599999999999,85,High Value,Repeat customer
1108.65,59,High Value,Repeat customer
84.3,5,High Value,Repeat customer
225.6,11,High Value,Repeat customer
427.7,5,High Value,Repeat customer
1710.39,54,High Value,Repeat customer
3415.3,105,High Value,Repeat customer
1708.1200000000001,77,High Value,Repeat customer
2888.55,105,High Value,Repeat customer
11072.67,109,High Value,Repeat customer
693.3299999999999,26,High Value,Repeat customer
1226.88,61,High Value,Repeat customer
758.1,38,High Value,Repeat customer
562.41,18,High Value,Repeat customer
124914.53,714,Medium value,Repeat customer
3649.1,192,High Value,Repeat customer
668.58,34,High Value,Repeat customer
600.39,29,High Value,Repeat customer
807.04,45,High Value,Repeat customer
803.5600000000001,39,High Value,Repeat customer
1859.31,125,High Value,Repeat customer
1760.96,30,High Value,Repeat customer
777.2,36,High Value,Repeat customer
582.73,30,High Value,Repeat customer
825.8,31,High Value,Repeat customer
7956.46,294,High Value,Repeat customer
3750.4,97,High Value,Repeat customer
256.4,11,High Value,Repeat customer
6487.45,235,High Value,Repeat customer
5059.32,108,High Value,Repeat customer
13375.87,420,High Value,Repeat customer
806.14,50,High Value,Repeat customer
7829.89,36,High Value,Repeat customer
509.01,16,High Value,Repeat customer
4951.41,199,High Value,Repeat customer
2906.85,98,High Value,Repeat customer
173.55,11,High Value,Repeat customer
172.06,12,High Value,Repeat customer
5005.46,176,High Value,Repeat customer
133.4,4,High Value,Repeat customer
1002.3100000000001,57,High Value,Repeat customer
476.49,26,High Value,Repeat customer
449.45,22,High Value,Repeat customer
4067.29,191,High Value,Repeat customer
197.88,8,High Value,Repeat customer
9035.52,354,High Value,Repeat customer
430.57,22,High Value,Repeat customer
707.09,43,High Value,Repeat customer
3528.34,15,High Value,Repeat customer
2466.86,90,High Value,Repeat customer
3181.04,125,High Value,Repeat customer
2363.23,62,High Value,Repeat customer
947.4,38,High Value,Repeat customer
826.88,35,High Value,Repeat customer
1189.59,62,High Value,Repeat customer
1344.78,83,High Value,Repeat customer
1212.05,29,High Value,Repeat customer
742.1899999999999,47,High Value,Repeat customer
729.5400000000001,38,High Value,Repeat customer
19824.05,460,High Value,Repeat customer
6572.11,339,High Value,Repeat customer
3938.5499999999997,168,High Value,Repeat customer
7375.79,424,High Value,Repeat customer
723.38,36,High Value,Repeat customer
6816.42,233,High Value,Repeat customer
13219.74,300,High Value,Repeat customer
680.99,36,High Value,Repeat customer
527.2,31,High Value,Repeat customer
3281.63,154,High Value,Repeat customer
5596.32,217,High Value,Repeat customer
2484.98,75,High Value,Repeat customer
4541.72,346,High Value,Repeat customer
1298.66,55,High Value,Repeat customer
334.93,15,High Value,Repeat customer
5417.93,245,High Value,Repeat customer
460.40000000000003,26,High Value,Repeat customer
263.21000000000004,20,High Value,Repeat customer
433.74,22,High Value,Repeat customer
1246.1000000000001,77,High Value,Repeat customer
1043.1,14,High Value,Repeat customer
403.70000000000005,23,High Value,Repeat customer
4257.82,61,High Value,Repeat customer
2169.39,149,High Value,Repeat customer
3723.87,147,High Value,Repeat customer
482.04999999999995,9,High Value,Repeat customer
73.5,23,High Value,Repeat customer
1304.81,21,High Value,Repeat customer
398.27,69,High Value,Repeat customer
176.5,7,High Value,Repeat customer
982.5699999999999,33,High Value,Repeat customer
138.03,34,High Value,Repeat customer
612.29,35,High Value,Repeat customer
1017.68,51,High Value,Repeat customer
383.7,16,High Value,Repeat customer
1312.06,26,High Value,Repeat customer
2502.84,284,High Value,Repeat customer
2056.89,124,High Value,Repeat customer
340.84,18,High Value,Repeat customer
2634.26,152,High Value,Repeat customer
599.68,38,High Value,Repeat customer
192.72,12,High Value,Repeat customer
1789.77,106,High Value,Repeat customer
4485.72,144,High Value,Repeat customer
1316.66,71,High Value,Repeat customer
348.71000000000004,18,High Value,Repeat customer
1933.48,92,High Value,Repeat customer
1662.28,66,High Value,Repeat customer
125.22,17,High Value,Repeat customer
349.83000000000004,16,High Value,Repeat customer
1089.18,63,High Value,Repeat customer
716.35,34,High Value,Repeat customer
12601.830000000002,261,High Value,Repeat customer
363.95,21,High Value,Repeat customer
5568.35,273,High Value,Repeat customer
13400.24,478,High Value,Repeat customer
981.18,52,High Value,Repeat customer
372.7,19,High Value,Repeat customer
1000.39,50,High Value,Repeat customer
1161.5,69,High Value,Repeat customer
207.79999999999998,8,High Value,Repeat customer
95.19999999999999,5,High Value,Repeat customer
964.83,57,High Value,Repeat customer
168.0,10,High Value,Repeat customer
437.82,20,High Value,Repeat customer
3692.28,191,High Value,Repeat customer
603.71,121,High Value,Repeat customer
11990.960000000001,33,High Value,Repeat customer
269.96,11,High Value,Repeat customer
561.71,21,High Value,Repeat customer
2134.01,105,High Value,Repeat customer
238.85,16,High Value,Repeat customer
3781.7400000000002,168,High Value,Repeat customer
456.9,21,High Value,Repeat customer
145.92,9,High Value,Repeat customer
351.65,19,High Value,Repeat customer
9401.28,446,High Value,Repeat customer
4124.69,188,High Value,Repeat customer
